date,year,month,reporter genome 2,reporter genome 3,reporter name,mirror,trade flow,HS Code,HS Description,value,value currency,quantity,quantity unit,quantity type,partner genome 2,partner genome 3,partner name
201901,2019,01,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",6531206.256,USD,357264,KG,primary,US,USA,United States
201901,2019,01,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",552223.2558,USD,47948,KG,primary,VN,VNM,Viet-Nam
201701,2017,01,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",5323.5108,USD,390,KG,primary,AT,AUT,Austria
201901,2019,01,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",141447.8062,USD,7348,KG,primary,SG,SGP,Singapore
201701,2017,01,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",1369771.173,USD,91556,KG,primary,US,USA,United States
201901,2019,01,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",2433494.643,USD,389586,KG,primary,CN,CHN,China (People's Republic of)
201701,2017,01,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",95029.9757,USD,9695,KG,primary,TH,THA,Thailand
201701,2017,01,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",107151.2002,USD,14726,KG,primary,VN,VNM,Viet-Nam
201401,2014,01,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",1093926.126,USD,88294,KG,primary,US,USA,United States
201901,2019,01,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",150022.907,USD,7484,KG,primary,HK,HKG,Hong Kong
201701,2017,01,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",288131.6082,USD,16601,KG,primary,SG,SGP,Singapore
201902,2019,02,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",370337.6244,USD,17488,KG,primary,FR,FRA,France
201701,2017,01,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",479599.0291,USD,80190,KG,primary,CN,CHN,China (People's Republic of)
201401,2014,01,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",22861.7524,USD,1352,KG,primary,TH,THA,Thailand
201902,2019,02,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",3121533.377,USD,165306,KG,primary,US,USA,United States
201702,2017,02,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",1298988.993,USD,91370,KG,primary,US,USA,United States
201401,2014,01,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",378979.9351,USD,37362,KG,primary,CN,CHN,China (People's Republic of)
