Dateyyymm,UBNL58_lb,New_Predicted_Price,New_Lower_CI,New_Upper_CI
4/1/12,5.4,4.700866255,4.463390112,4.950977395
5/1/12,4.72,4.603287223,4.361953265,4.857973476
6/1/12,4.75,4.794541096,4.590650631,5.00748721
7/1/12,4.72,4.831959667,4.626073413,5.047009016
8/1/12,4.65,4.975420142,4.76305311,5.197255839
9/1/12,4.74,5.133417984,4.905657584,5.371752868
10/1/12,4.93,5.282046295,5.041846611,5.533689382
11/1/12,5.04,5.357394545,5.109645237,5.617156375
12/1/12,5.01,5.349387797,5.092270168,5.619487746
1/1/13,5.04,5.359698707,5.102263171,5.630123196
2/1/13,5.26,5.392934703,5.137303567,5.661285991
3/1/13,5.3,5.340764874,5.100859267,5.591953816
4/1/13,5.3,4.887373624,4.672645495,5.111969432
5/1/13,4.61,4.325780176,4.069058034,4.598699251
6/1/13,4.69,4.56746094,4.322416245,4.826397611
7/1/13,4.91,4.575881282,4.354626926,4.808377357
8/1/13,5.16,4.718152399,4.503508835,4.943026177
9/1/13,5.2,4.856544041,4.637197943,5.086265523
10/1/13,5.2,5.03648878,4.799783401,5.284867486
11/1/13,5.24,5.018486096,4.784292823,5.264143233
12/1/13,5.25,4.986076341,4.764586985,5.217861981
1/1/14,5.36,5.032546513,4.809609971,5.265816679
2/1/14,5.4,5.125560448,4.888383617,5.374244732
3/1/14,5.4,5.147904858,4.907326703,5.400277184
4/1/14,5.4,5.365452029,5.166988965,5.571538021
5/1/14,5.1,5.114927415,4.881207032,5.359838721
6/1/14,5.11,5.194886484,4.977854458,5.421381
7/1/14,5.22,5.276275567,5.058647881,5.503265797
8/1/14,5.25,5.421314211,5.227036093,5.622813244
9/1/14,5.25,5.61997277,5.426040088,5.820836821
10/1/14,5.25,5.81861472,5.60622778,6.039047749
11/1/14,5.25,5.856094961,5.639457912,6.081054018
12/1/14,5.25,5.730013647,5.54400533,5.922262775
1/1/15,5.25,5.63699396,5.473238785,5.805648566
2/1/15,5.21,5.724301138,5.541612183,5.913012754
3/1/15,5.14,5.692956174,5.512459837,5.879362563
4/1/15,4.98,5.640985836,5.485010966,5.801396096
5/1/15,4.78,5.309633303,5.114493204,5.512218844
6/1/15,4.89,5.288465709,5.096131582,5.488058756
7/1/15,4.95,5.369817941,5.172918506,5.57421206
8/1/15,4.92,5.551300096,5.351051437,5.759042519
9/1/15,4.9,5.769324959,5.558425442,5.988226491
10/1/15,4.95,5.732885219,5.535311199,5.937511325
11/1/15,5.06,5.903280547,5.677999615,6.13749975
12/1/15,5.17,5.846608842,5.613371555,6.08953721
