Dateyyymm,Year,Month,Pack_Year,UBNL58_lb,CAUS_Total,USD_Cost,CADUSDEXCH,Dock_Cost_CAD,log_CAUS_Total,log_USD_Cost,log_UBNL58_lb,log_CADUSDEXCH,log_Dock_Cost_CAD,Market_Shock_Factor,Season_Factor_1,Pandemic_Shock,Extra_Demand_Factor,Tariff_Shock,Tariff_Amt,Predicted_Price_Tariff_Adjusted,Lower_CI,Upper_CI,Non_Canada_Imports_Lbs
4/1/12,2012,4,2012,5.4,16196837,3.068971595,0.9928,1.95,16.82429227,1.10689043,1.686398954,-0.007226045,0.667829373,0,0,0,1,0,0,4.720442562,4.483628994,4.969764004,333421
5/1/12,2012,5,2012,4.72,27095991,3.020296392,1.0088,1.95,17.73114434,1.122877981,1.5518088,0.008761506,0.667829373,0,0,0,1,0,0,4.584590299,4.332926635,4.850871011,527701
6/1/12,2012,6,2012,4.75,15045306,2.965617092,1.0274,1.95,17.28570638,1.141147814,1.558144618,0.027031339,0.667829373,0,0.029035924,0,0.029035924,0,0,4.761464903,4.55470956,4.977605647,639831
7/1/12,2012,7,2012,4.72,12220955,3.004215145,1.0142,1.95,16.73709148,1.1282166,1.5518088,0.014100124,0.667829373,0,0.023585211,0,0.023585211,0,0,4.839962792,4.635293195,5.053669498,1436200
8/1/12,2012,8,2012,4.65,4860923,3.068971595,0.9928,1.95,15.63891339,1.10689043,1.53686722,-0.007226045,0.667829373,0,0.009381091,0,0.009381091,0,0,4.993446242,4.780771037,5.215582419,1810215
9/1/12,2012,9,2012,4.74,1928095,3.113822177,0.9785,1.95,14.94416438,1.092381983,1.556037136,-0.021734492,0.667829373,0,0.003721029,0,0.003721029,0,0,5.097164506,4.869321566,5.335668561,1087768
10/1/12,2012,10,2012,4.93,688726,3.091391031,0.9856,1.95,14.40513331,1.099611789,1.595338988,-0.014504686,0.667829373,0,0.001329172,0,0.001329172,0,0,5.180730217,4.946592145,5.425950794,1538947
11/1/12,2012,11,2012,5.04,385607,3.057269717,0.9966,1.95,14.35295202,1.110710682,1.617406082,-0.003405793,0.667829373,0,0.000744183,0,0.000744183,0,0,5.187163054,4.957776439,5.427162939,900505
12/1/12,2012,12,2012,5.01,262729,3.078895513,0.9896,1.95,13.87308583,1.103662017,1.611435915,-0.010454458,0.667829373,0,0,0,1,0,0,5.183415277,4.944882728,5.433454222,1541842
1/1/13,2013,1,2012,5.04,239975,3.070517989,0.9923,1.95,13.24813222,1.106386677,1.617406082,-0.007729798,0.667829373,0,0,0,1,0,0,5.286753795,5.031821044,5.554602488,1326575
2/1/13,2013,2,2012,5.26,165356,3.017604239,1.0097,1.95,13.27940815,1.123769732,1.660131027,0.009653257,0.667829373,0,0,0,1,0,0,5.278785601,5.03495303,5.534426488,1304540
3/1/13,2013,3,2012,5.3,197907,2.974011713,1.0245,1.95,12.52451183,1.138321164,1.667706821,0.024204689,0.667829373,0,0,0,1,0,0,5.403128169,5.137121098,5.682909446,761455
4/1/13,2013,4,2013,5.3,6689120,3.067033075,1.0189,2,15.82059338,1.158157897,1.667706821,0.018723614,0.693147181,0,0,0,1,0,0,4.957157592,4.744453884,5.179397248,745000
5/1/13,2013,5,2013,4.61,38245061,2.803308824,1.02,1.83,17.84371274,1.070405697,1.528227857,0.019802627,0.604315967,0,0,0,1,0,0,4.363130332,4.119100711,4.621617104,641592
6/1/13,2013,6,2013,4.69,28006306,2.772055259,1.0315,1.83,17.60273825,1.081617123,1.545432582,0.031014054,0.604315967,0,0.076021035,0,0.076021035,0,0,4.567044957,4.332462,4.814329505,1551837
