LFA,Year,January,February,March,April,May,June,July,August,September,October,November,December
NL,2012,,,,,1029.5,823.6,205.9,,,,,
NL,2013,,,,,1084,867.2,216.8,,,,,
NL,2014,,,,,1050,840,210,,,,,
NL,2015,,,,,1285.5,1028.4,257.1,,,,,
NL,2016,,,,,1395.5,1116.4,279.1,,,,,
NL,2017,,,,,1434.5,1147.6,286.9,,,,,
NL,2018,,,,,1669.5,1335.6,333.9,,,,,
NL,2019,,,,,2300,1840,460,,,,,
NL,2020,,,,,2225.5,1780.4,445.1,,,,,
NL,2021,,,,,2402,1921.6,480.4,,,,,
NL,2022,,,,,3026,2420.8,605.2,,,,,
NL,2023,,,,,3639.5,2911.6,727.9,,,,,
NL,2024,,,,,4580.5,3664.4,916.1,,,,,
QB,2012,,,,795.8,1989.5,1193.7,,,,,,
QB,2013,,,,855.6,2139,1283.4,,,,,,
QB,2014,,,,1068.4,2671,1602.6,,,,,,
QB,2015,,,,1178.8,2947,1768.2,,,,,,
QB,2016,,,,1036.2,2590.5,1554.3,,,,,,
QB,2017,,,,1525.2,3813,2287.8,,,,,,
QB,2018,,,,1626.8,4067,2440.2,,,,,,
QB,2019,,,,1922.6,4806.5,2883.9,,,,,,
QB,2020,,,,2061.2,5153,3091.8,,,,,,
QB,2021,,,,2193.8,5484.5,3290.7,,,,,,
QB,2022,,,,2396.8,5992,3595.2,,,,,,
QB,2023,,,,2765,6912.5,4147.5,,,,,,
QB,2024,,,,2921.8,7304.5,4382.7,,,,,,
"LFA 23,24,27",2012,,,,,11133.6,7422.4,,,,,,
"LFA 23,24,28",2013,,,,,12864.6,8576.4,,,,,,
"LFA 23,24,29",2014,,,,,13356.6,8904.4,,,,,,
"LFA 23,24,30",2015,,,,,13987.8,9325.2,,,,,,
"LFA 23,24,31",2016,,,,,12288,8192,,,,,,
"LFA 23,24,32",2017,,,,,14718,9812,,,,,,
"LFA 23,24,33",2018,,,,,15306,10204,,,,,,
"LFA 23,24,34",2019,,,,,14681.4,9787.6,,,,,,
"LFA 23,24,35",2020,,,,,15456.6,10304.4,,,,,,
"LFA 23,24,36",2021,,,,,17883.6,11922.4,,,,,,
"LFA 23,24,37",2022,,,,,16353,10902,,,,,,
"LFA 23,24,38",2023,,,,,14649,9766,,,,,,
LFA 25,2012,,,,,2015.6,1511.7,,503.9,503.9,503.9,,
LFA 25,2013,,,,,2016,1512,,504,504,504,,
LFA 25,2014,,,,,2366.4,1774.8,,591.6,591.6,591.6,,
LFA 25,2015,,,,,2314.4,1735.8,,578.6,578.6,578.6,,
LFA 25,2016,,,,,2574.4,1930.8,,643.6,643.6,643.6,,
LFA 25,2017,,,,,2359.2,1769.4,,589.8,589.8,589.8,,
LFA 25,2018,,,,,2400,1800,,600,600,600,,
LFA 25,2019,,,,,3497.2,2622.9,,874.3,874.3,874.3,,
LFA 25,2020,,,,,3703.6,2777.7,,925.9,925.9,925.9,,
LFA 25,2021,,,,,4486.8,3365.1,,1121.7,1121.7,1121.7,,
LFA 25,2022,,,,,3404,2553,,851,851,851,,
LFA 25,2023,,,,,4244.8,3183.6,,1061.2,1061.2,1061.2,,
LFA 27-30,2012,,,,,1681.2,1307.6,747.2,,,,,
LFA 27-30,2013,,,,,2099.7,1633.1,933.2,,,,,
LFA 27-30,2014,,,,,2213.1,1721.3,983.6,,,,,
LFA 27-30,2015,,,,,2168.55,1686.65,963.8,,,,,
LFA 27-30,2016,,,,,2225.25,1730.75,989,,,,,
LFA 27-30,2017,,,,,3027.15,2354.45,1345.4,,,,,
LFA 27-30,2018,,,,,3453.75,2686.25,1535,,,,,
LFA 27-30,2019,,,,,3513.15,2732.45,1561.4,,,,,
LFA 27-30,2020,,,,,3136.95,2439.85,1394.2,,,,,
LFA 27-30,2021,,,,,3324.6,2585.8,1477.6,,,,,
LFA 27-30,2022,,,,,3853.35,2997.05,1712.6,,,,,
LFA 27-30,2023,,,,,3312.45,2576.35,1472.2,,,,,
LFA 31-32,2012,,,,,1685.4,1123.6,,,,,,
LFA 31-32,2013,,,,,1363.8,909.2,,,,,,
LFA 31-32,2014,,,,,1920,1280,,,,,,
LFA 31-32,2015,,,,,1731.6,1154.4,,,,,,
LFA 31-32,2016,,,,,1854,1236,,,,,,
LFA 31-32,2017,,,,,1980.6,1320.4,,,,,,
LFA 31-32,2018,,,,,1938,1292,,,,,,
LFA 31-32,2019,,,,,2186.4,1457.6,,,,,,
LFA 31-32,2020,,,,,1797.6,1198.4,,,,,,
LFA 31-32,2021,,,,,1893,1262,,,,,,
LFA 31-32,2022,,,,,2098.8,1399.2,,,,,,
LFA 31-32,2023,,,,,1984.2,1322.8,,,,,,
LFA 33-34,2012,7325,0,0,1465,2930,,,,,,,17580
LFA 33-34,2013,6651.75,0,0,1330.35,2660.7,,,,,,,15964.2
LFA 33-34,2014,8702,0,0,1740.4,3480.8,,,,,,,20884.8
LFA 33-34,2015,8589.25,0,0,1717.85,3435.7,,,,,,,20614.2
LFA 33-34,2016,8763.25,0,0,1752.65,3505.3,,,,,,,21031.8
LFA 33-34,2017,8045.25,0,0,1609.05,3218.1,,,,,,,19308.6
LFA 33-34,2018,7331,0,0,1466.2,2932.4,,,,,,,17594.4
LFA 33-34,2019,7919.5,0,0,1583.9,3167.8,,,,,,,19006.8
LFA 33-34,2020,6184.5,0,0,1236.9,2473.8,,,,,,,14842.8
LFA 33-34,2021,7659.25,0,0,1531.85,3063.7,,,,,,,18382.2
LFA 33-34,2022,5508,0,0,1101.6,2203.2,,,,,,,13219.2
LFA 33-34,2023,5351.25,0,0,1070.25,2140.5,,,,,,,12843
LFA 35,2012,0,161.55,161.55,323.1,323.1,161.55,161.55,0,0,646.2,646.2,646.2
LFA 35,2013,0,179.9,179.9,359.8,359.8,179.9,179.9,0,0,719.6,719.6,719.6
LFA 35,2014,0,210.6,210.6,421.2,421.2,210.6,210.6,0,0,842.4,842.4,842.4
LFA 35,2015,0,177.1,177.1,354.2,354.2,177.1,177.1,0,0,708.4,708.4,708.4
LFA 35,2016,0,161.1,161.1,322.2,322.2,161.1,161.1,0,0,644.4,644.4,644.4
LFA 35,2017,0,186.75,186.75,373.5,373.5,186.75,186.75,0,0,747,747,747
LFA 35,2018,0,152.55,152.55,305.1,305.1,152.55,152.55,0,0,610.2,610.2,610.2
LFA 35,2019,0,149.05,149.05,298.1,298.1,149.05,149.05,0,0,596.2,596.2,596.2
LFA 35,2020,0,118.55,118.55,237.1,237.1,118.55,118.55,0,0,474.2,474.2,474.2
LFA 35,2021,0,126.15,126.15,252.3,252.3,126.15,126.15,0,0,504.6,504.6,504.6
LFA 35,2022,0,123.35,123.35,246.7,246.7,123.35,123.35,0,0,493.4,493.4,493.4
LFA 35,2023,0,108.8,108.8,217.6,217.6,108.8,108.8,0,0,435.2,435.2,435.2
LFA 36,2012,254,0,0,254,254,254,0,0,0,0,762,762
LFA 36,2013,300.9,0,0,300.9,300.9,300.9,0,0,0,0,902.7,902.7
LFA 36,2014,373.4,0,0,373.4,373.4,373.4,0,0,0,0,1120.2,1120.2
LFA 36,2015,361.5,0,0,361.5,361.5,361.5,0,0,0,0,1084.5,1084.5
LFA 36,2016,358.5,0,0,358.5,358.5,358.5,0,0,0,0,1075.5,1075.5
LFA 36,2017,361.4,0,0,361.4,361.4,361.4,0,0,0,0,1084.2,1084.2
LFA 36,2018,361.1,0,0,361.1,361.1,361.1,0,0,0,0,1083.3,1083.3
LFA 36,2019,348.9,0,0,348.9,348.9,348.9,0,0,0,0,1046.7,1046.7
LFA 36,2020,307.5,0,0,307.5,307.5,307.5,0,0,0,0,922.5,922.5
LFA 36,2021,330.8,0,0,330.8,330.8,330.8,0,0,0,0,992.4,992.4
LFA 36,2022,241.5,0,0,241.5,241.5,241.5,0,0,0,0,724.5,724.5
LFA 36,2023,192.8,0,0,192.8,192.8,192.8,0,0,0,0,578.4,578.4
LFA 38,2012,544.4,0,0,136.1,136.1,136.1,0,0,0,0,816.6,952.7
LFA 38,2013,671.6,0,0,167.9,167.9,167.9,0,0,0,0,1007.4,1175.3
LFA 38,2014,1053.8,0,0,263.45,263.45,263.45,0,0,0,0,1580.7,1844.15
LFA 38,2015,1088,0,0,272,272,272,0,0,0,0,1632,1904
LFA 38,2016,1107.2,0,0,276.8,276.8,276.8,0,0,0,0,1660.8,1937.6
LFA 38,2017,884,0,0,221,221,221,0,0,0,0,1326,1547
LFA 38,2018,858,0,0,214.5,214.5,214.5,0,0,0,0,1287,1501.5
LFA 38,2019,811.2,0,0,202.8,202.8,202.8,0,0,0,0,1216.8,1419.6
LFA 38,2020,717.8,0,0,179.45,179.45,179.45,0,0,0,0,1076.7,1256.15
LFA 38,2021,793.4,0,0,198.35,198.35,198.35,0,0,0,0,1190.1,1388.45
LFA 38,2022,567.6,0,0,141.9,141.9,141.9,0,0,0,0,851.4,993.3
LFA 38,2023,460.8,0,0,115.2,115.2,115.2,0,0,0,0,691.2,806.4
Maine,2012,612.2,355.6,276.6,566.9,1236.5,4231.1,11826.5,11539.4,10156.4,8990.9,5937.5,2022.5
Maine,2013,648.9,262.1,313.6,689.8,1332.6,2134.9,11170.8,15108.1,10037.7,9923.0,4402.4,1949.2
Maine,2014,611.1,422.5,363.6,584.5,1443.0,1583.4,5719.0,13354.5,12026.6,12336.8,5404.8,2543.5
Maine,2015,628.5,193.6,390.2,575.7,1192.7,1768.1,6432.8,13034.9,11154.3,9938.1,7017.3,3313.1
Maine,2016,1175.9,490.2,442.1,788.2,1487.0,3457.0,11386.8,11363.0,9735.7,10298.5,7095.4,2428.8
Maine,2017,1185.8,361.2,411.6,598.8,1231.1,1472.8,6582.7,12969.1,8250.0,8923.8,6522.5,2338.8
Maine,2018,1150.1,683.5,590.6,739.9,1201.2,1545.0,9629.8,12283.9,9083.9,9600.1,5313.5,3081.3
Maine,2019,825.7,532.9,486.8,571.8,1064.5,1049.0,3917.1,10183.5,8355.1,9787.2,6286.6,3320.3
Maine,2020,1378.2,443.2,247.1,356.6,624.2,1248.0,7515.7,7983.2,7017.4,9356.4,5795.5,2465.9
Maine,2021,1672.5,526.7,497.5,580.4,1005.2,2697.5,9078.9,7758.5,8222.3,9048.7,6582.9,2534.1
Maine,2022,454.3,182.8,342.9,463.2,1087.2,2153.3,8698.0,9556.4,7338.9,7330.3,5000.4,2186.2
Maine,2023,968.5,495.3,387.8,635.7,1133.1,2421.2,8143.7,8405.4,6664.7,6649.5,4179.8,2432.6
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
