"Dateyyymm","Year","Month","Actual","Predicted","Lower_CI","Upper_CI"
"1/1/19",2019,1,8.56,8.54311288261051,8.24362910580225,8.8534766409682
"2/1/19",2019,2,8.63,8.76777932454397,8.45604102333524,9.09101009228311
"3/1/19",2019,3,8.74,8.88499566070376,8.52062655868263,9.26494634485307
"4/1/19",2019,4,8.64,8.27076867081141,7.92036595819717,8.63667345260471
"5/1/19",2019,5,8.04,7.85840385922497,7.43624597011664,8.30452777689833
"6/1/19",2019,6,8.28,8.30494702910555,7.94826504047747,8.67763528329772
"7/1/19",2019,7,8.4,8.39975800419764,8.1043813729565,8.70590009060041
"8/1/19",2019,8,8.43,8.56965214365192,8.24841052477513,8.90340480055097
"9/1/19",2019,9,8.56,8.82322276681819,8.49399491445509,9.16521151436232
"10/1/19",2019,10,8.8,9.13693965396723,8.77556313155517,9.51319761350108
"11/1/19",2019,11,8.97,9.24433499319785,8.85192259308322,9.65414333076498
"12/1/19",2019,12,9.18,8.98615224906565,8.66723892545739,9.31680007184367
"1/1/20",2020,1,9.26,11.1323333836977,10.5654873910275,11.7295910713058
"2/1/20",2020,2,9.3,10.9831918728112,10.4100735318845,11.5878627893945
"3/1/20",2020,3,9.3,10.6961542822222,9.94569949579873,11.5032347878023
"4/1/20",2020,4,9.3,8.06750810432686,7.59247222777377,8.57226540457999
"5/1/20",2020,5,6.9,7.50358621090368,6.98640343461532,8.05905449798347
"6/1/20",2020,6,7.82,8.39060153458578,7.51387941303503,9.36961990500671
"7/1/20",2020,7,9.22,8.1995280084019,7.63149822085608,8.80983754629316
"8/1/20",2020,8,9.28,8.20398610270653,7.7888493749942,8.64124914130233
"9/1/20",2020,9,9.58,8.49072971402886,8.04193803244118,8.96456684767671
"10/1/20",2020,10,9.77,8.66768279737754,8.1987525812391,9.16343362377696
"11/1/20",2020,11,9.9,8.78770685979469,8.30879822359215,9.29421918496132
"12/1/20",2020,12,9.9,8.80240169605804,8.34571707602326,9.28407648054201
"1/1/21",2021,1,9.9,9.1342303627593,8.61562357664088,9.68405404179506
"2/1/21",2021,2,9.9,8.86594171755446,8.39580491701128,9.36240459563395
"3/1/21",2021,3,9.9,8.57429952932771,8.13185700662487,9.04081470674351
"4/1/21",2021,4,9.9,14.8997193539286,13.9126378609401,15.9568328482917
"5/1/21",2021,5,13.11,15.192521729614,13.9781875812914,16.5123493416068
"6/1/21",2021,6,14.88,16.3765943384076,15.0205340423006,17.8550803433141
"7/1/21",2021,7,16.24,15.9130837761092,14.9438272826301,16.9452062364109
"8/1/21",2021,8,16.4,15.9461737048775,15.0462855581066,16.8998823559563
"9/1/21",2021,9,16.4,16.293252064309,15.3421870477211,17.3032737774201
"10/1/21",2021,10,16.56,16.6865994555355,15.6847944833722,17.752390806565
"11/1/21",2021,11,16.79,16.5059072671442,15.5460950296424,17.5249780856274
"12/1/21",2021,12,16.8,16.1744761325836,15.2172643378602,17.1918994344225
"1/1/22",2022,1,16.8,14.0266034022413,13.097428796616,15.0216967054328
"2/1/22",2022,2,16.42,14.1660652107324,13.2077277582604,15.193938520516
"3/1/22",2022,3,15.41,13.7716267874471,12.870000901733,14.7364173336765
"4/1/22",2022,4,12.07,8.05050320066671,7.39852268577314,8.75993823855826
"5/1/22",2022,5,10.41,7.75879995939244,7.22110368340166,8.33653406033219
"6/1/22",2022,6,8.48,7.74899548086706,7.15532327594876,8.39192425649505
"7/1/22",2022,7,7.53,7.78141704686485,7.25232395714124,8.34911010802488
"8/1/22",2022,8,7.05,8.09149900085183,7.58293502832514,8.63417078429686
"9/1/22",2022,9,7.26,8.03054222773277,7.59225805132513,8.49412757514787
"10/1/22",2022,10,7.84,7.96582317500692,7.47419392442063,8.48979026997831
"11/1/22",2022,11,7.9,8.20947886739101,7.75638799201271,8.68903713217304
"12/1/22",2022,12,7.77,8.13996654706882,7.66789170520208,8.64110474362174
"1/1/23",2023,1,7.27,8.05737522284525,7.60601691807536,8.53551815371827
"2/1/23",2023,2,6.91,8.09150987787475,7.63701039779515,8.57305787126425
"3/1/23",2023,3,6.07,7.91420011382234,7.43857666558755,8.42023498008516
"4/1/23",2023,4,5.17,5.05885514712454,4.82114400655721,5.30828686402664
"5/1/23",2023,5,4.65,5.0238486594948,4.77853748341558,5.28175313913567
"6/1/23",2023,6,4.97,5.19052454732348,4.96355469127052,5.42787311757643
"7/1/23",2023,7,5.29,5.18617726178695,4.96275750956076,5.41965520960071
"8/1/23",2023,8,5.74,5.22575099833095,5.01144141598595,5.44922532855434
"9/1/23",2023,9,5.75,5.46628532350354,5.2353620625985,5.70739423189379
"10/1/23",2023,10,5.75,5.49829557490589,5.24827663948491,5.76022498539572
"11/1/23",2023,11,5.63,5.59513883226842,5.33323647051128,5.86990258644145
"12/1/23",2023,12,5.32,5.48062291525875,5.26794598067506,5.70188601960764
"1/1/24",2024,1,5.4,5.41097115558204,5.20158503865825,5.62878596215227
"2/1/24",2024,2,5.45,5.41742392904509,5.20153003603181,5.64227868025155
"3/1/24",2024,3,5.45,5.40027906650481,5.17989403139154,5.63004065708573
"4/1/24",2024,4,5.64,5.90716162986364,5.65210495214929,6.17372798572401
"5/1/24",2024,5,6.19,5.785560517458,5.50646095053872,6.07880647875912
"6/1/24",2024,6,6.06,6.32430733998335,5.9127952228221,6.76445941780431
"7/1/24",2024,7,6.05,6.28208042296388,5.96720459226009,6.61357153595413
"8/1/24",2024,8,6.09,6.31800262664678,6.10840170543235,6.5347956986549
"9/1/24",2024,9,6.67,6.42788827351281,6.21878003030878,6.64402784073261
"10/1/24",2024,10,7.46,6.4706434919776,6.24250921519929,6.70711500086033
"11/1/24",2024,11,8.21,8.21000000000004,6.70034845288499,10.0597902443384
"12/1/24",2024,12,8.38,8.69646419940133,7.73377679241723,9.77898530063873
"1/1/25",2025,1,8.62,8.70060552253191,7.73742862416182,9.78368139284946
"2/1/25",2025,2,9.11,8.69716019251094,7.73443352216667,9.77972015628722
